model,secondary_metric_name,secondary_metric_label,ece_chrf_q20,ece_secondary_q20,coverage_chrf_tau_0_9,coverage_secondary_tau_0_9,mismatch_chrf_tau_0_9,mismatch_secondary_tau_0_9,accepted_error_chrf_tau_0_9,accepted_error_secondary_tau_0_9
anthropic/claude-haiku-4-5-20251001,bleu_fallback,Sentence BLEU fallback,0.09431999999999999,0.09927999999999995,0.776,0.776,0.134,0.142,0.17268041237113402,0.18298969072164947
anthropic/claude-opus-4-6,bleu_fallback,Sentence BLEU fallback,0.08694000000000002,0.09194000000000002,0.666,0.666,0.076,0.08,0.11411411411411411,0.12012012012012012
anthropic/claude-sonnet-4-5-20250929,bleu_fallback,Sentence BLEU fallback,0.09480000000000005,0.09840000000000004,0.85,0.85,0.128,0.13,0.15058823529411763,0.15294117647058825
gemini/gemini-2.5-flash,bleu_fallback,Sentence BLEU fallback,0.14787999999999998,0.15188000000000001,0.374,0.374,0.042,0.048,0.11229946524064172,0.12834224598930483
gemini/gemini-2.5-pro,bleu_fallback,Sentence BLEU fallback,0.18022000000000002,0.18570000000000011,0.962,0.962,0.182,0.188,0.1891891891891892,0.19542619542619544
openai/gpt-5-mini,bleu_fallback,Sentence BLEU fallback,0.1522,0.1522,0.704,0.704,0.128,0.13,0.18181818181818182,0.1846590909090909
openai/gpt-5-nano,bleu_fallback,Sentence BLEU fallback,0.07574,0.08826,0.028,0.028,0.002,0.006,0.07142857142857142,0.21428571428571427
openai/gpt-5.2,bleu_fallback,Sentence BLEU fallback,0.13391999999999998,0.14504000000000003,0.816,0.816,0.152,0.16,0.18627450980392157,0.19607843137254902
