model,secondary_metric_name,secondary_metric_label,secondary_metric_quantile,secondary_error_threshold,mean_secondary_metric,median_secondary_metric,min_secondary_metric,max_secondary_metric
anthropic/claude-haiku-4-5-20251001,bleu_fallback,Sentence BLEU fallback,0.2,10.398089766078932,29.41856867731198,24.77399364621739,0.0,100.00000000000004
anthropic/claude-opus-4-6,bleu_fallback,Sentence BLEU fallback,0.2,10.129474235115733,30.968176391862052,26.72715631128616,0.0,100.00000000000004
anthropic/claude-sonnet-4-5-20250929,bleu_fallback,Sentence BLEU fallback,0.2,9.535414040914189,29.326357179004194,24.28243222678512,0.0,100.00000000000004
gemini/gemini-2.5-flash,bleu_fallback,Sentence BLEU fallback,0.2,8.225964699966553,28.448904357090758,23.525653292954676,0.0,100.00000000000004
gemini/gemini-2.5-pro,bleu_fallback,Sentence BLEU fallback,0.2,12.368464772045964,31.66073476714585,27.356750640505084,0.0,100.00000000000004
openai/gpt-5-mini,bleu_fallback,Sentence BLEU fallback,0.2,9.880782578056978,27.857835253861438,22.86117209965908,2.6629879653210757,100.00000000000004
openai/gpt-5-nano,bleu_fallback,Sentence BLEU fallback,0.2,9.980099403873663,26.710506603243093,21.38966348766842,0.4228848378822982,100.00000000000004
openai/gpt-5.2,bleu_fallback,Sentence BLEU fallback,0.2,10.657284485555579,29.716053251240417,25.214049670609604,2.6677820539246824,100.00000000000004
