model,corr_self_conf_vs_chrf,corr_proxy_vs_chrf,ece_self_conf,ece_proxy,accepted_error_self_top_frac,accepted_error_proxy_top_frac
anthropic/claude-haiku-4-5-20251001,0.25673253721570766,0.2391402121909181,0.09431999999999999,0.06310139821860206,0.12,0.13
anthropic/claude-opus-4-6,0.4805100204174397,0.40429137247581337,0.08694000000000002,0.06252249511543984,0.06,0.14
anthropic/claude-sonnet-4-5-20250929,0.4548607639121102,0.4648488193366137,0.09480000000000005,0.06719787867079532,0.11,0.13
gemini/gemini-2.5-flash,0.22388659164603797,0.684165085812077,0.14787999999999998,0.0879637753350939,0.13,0.1
gemini/gemini-2.5-pro,0.2328800167301861,0.12408757314749486,0.18022000000000002,0.09025444109729894,0.22,0.2
openai/gpt-5-mini,0.04136772738918861,0.10205603607884765,0.1522,0.08882903502757063,0.13,0.19
openai/gpt-5-nano,0.20747965487313844,0.06000406229954395,0.07574,0.08431060328716254,0.11,0.18
openai/gpt-5.2,0.10746969874891744,0.05325080729305372,0.13391999999999998,0.08572795890736482,0.16,0.18
