model,n_warning_rows,warning_rate,n_repaired_rows,n_fallback_rows,n_translation_warning_rows,n_confidence_warning_rows,n_both_warning_rows,mean_conf_clean,mean_conf_warning,ece_all,ece_clean,mismatch_all,mismatch_clean,top_warning_token,n_total,clean_subset_stable
anthropic/claude-haiku-4-5-20251001,29,0.058,0,29,29,0,0,0.8991082802547771,0.5641379310344827,0.09431999999999999,0.08348195329087042,0.134,0.1316348195329087,translation_no_json,500,1
anthropic/claude-opus-4-6,58,0.116,0,58,58,0,0,0.9221945701357467,0.4386206896551724,0.08694000000000002,0.0722850678733031,0.076,0.08597285067873303,translation_no_json,500,1
anthropic/claude-sonnet-4-5-20250929,68,0.136,0,68,68,0,0,0.9387731481481482,0.5869117647058824,0.09480000000000005,0.09326388888888877,0.128,0.125,translation_no_json,500,1
gemini/gemini-2.5-flash,287,0.574,164,287,77,240,30,0.7736150234741784,0.6788850174216028,0.14787999999999998,0.1728638497652582,0.042,0.028169014084507043,confidence_no_json,500,1
gemini/gemini-2.5-pro,1,0.002,0,1,1,0,0,0.984188376753507,0.0,0.18022000000000002,0.18058116232464932,0.182,0.18236472945891782,translation_no_json,500,1
openai/gpt-5-mini,0,0.0,0,0,0,0,0,0.88188,nan,0.1522,0.1522,0.128,0.128,none,500,1
openai/gpt-5-nano,0,0.0,0,0,0,0,0,0.72626,nan,0.07574,0.07574,0.002,0.002,none,500,1
openai/gpt-5.2,0,0.0,0,0,0,0,0,0.92392,nan,0.13391999999999998,0.13391999999999998,0.152,0.152,none,500,1
