model,n_calibration,n_eval,ece_before,ece_after,ece_delta,mismatch_at_0_9_before,mismatch_at_0_9_after,mismatch_delta
anthropic/claude-haiku-4-5-20251001,206,294,0.11037414965986395,0.026542936014985693,-0.08383121364487825,0.14285714285714285,0.003401360544217687,-0.13945578231292516
anthropic/claude-opus-4-6,211,289,0.08384083044982706,0.11416762783544794,0.030326797385620885,0.10034602076124567,0.020761245674740483,-0.07958477508650519
anthropic/claude-sonnet-4-5-20250929,186,314,0.08659235668789803,0.07323228251229545,-0.013360074175602574,0.12101910828025478,0.009554140127388535,-0.11146496815286625
gemini/gemini-2.5-flash,196,304,0.15240131578947366,0.0548093091074377,-0.09759200668203596,0.049342105263157895,0.003289473684210526,-0.04605263157894737
gemini/gemini-2.5-pro,198,302,0.17539735099337744,0.0873953317612505,-0.08800201923212694,0.18211920529801323,0.0,-0.18211920529801323
openai/gpt-5-mini,186,314,0.1281528662420382,0.11583415966943292,-0.012318706572605281,0.1178343949044586,0.0,-0.1178343949044586
openai/gpt-5-nano,191,309,0.09142394822006478,0.04455799693408278,-0.046865951285982,0.003236245954692557,0.003236245954692557,0.0
openai/gpt-5.2,212,288,0.15458333333333338,0.04660724232296819,-0.10797609101036519,0.1701388888888889,0.0,-0.1701388888888889
