model,mean_quality,ece_global_q20,ece_within_model_q20,mismatch_rate_overall,median_conf,mismatch_rate_overall_tau_0.9,valid_conf_count,total_count,avg_total_latency_s
anthropic/claude-haiku-4-5-20251001,57.014289446244966,0.09631999999999998,0.09431999999999999,0.134,,,,,2.286152519226074
anthropic/claude-opus-4-6,58.454066283588055,0.07094,0.08694000000000002,0.076,,,,,5.069691294193268
anthropic/claude-sonnet-4-5-20250929,56.893487147424736,0.11020000000000006,0.09480000000000005,0.128,,,,,3.569099639892578
gemini/gemini-2.5-flash,54.01411329892328,0.14784,0.14787999999999998,0.042,,,,,4.308814450263977
gemini/gemini-2.5-pro,60.06768426878845,0.12022000000000009,0.18022000000000002,0.182,,,,,7.800345567703247
openai/gpt-5-mini,57.08676033356772,0.16620000000000001,0.1522,0.128,,,,,2.82671212720871
openai/gpt-5-nano,55.305213778058544,0.04426000000000002,0.07574,0.002,,,,,2.3899908318519594
openai/gpt-5.2,58.87383288212326,0.09304000000000001,0.13391999999999998,0.152,,,,,2.7761284565925597
