model,error_col,n_total,coverage_at_0_9,mismatch_at_0_9,accepted_error_rate_at_0_9,accepted_non_low_quality_rate_at_0_9,ece
anthropic/claude-haiku-4-5-20251001,error_within_model_q20,500,0.776,0.134,0.17268041237113402,0.8273195876288659,0.09431999999999999
anthropic/claude-opus-4-6,error_within_model_q20,500,0.666,0.076,0.11411411411411411,0.8858858858858859,0.08694000000000002
anthropic/claude-sonnet-4-5-20250929,error_within_model_q20,500,0.85,0.128,0.15058823529411763,0.8494117647058823,0.09480000000000005
gemini/gemini-2.5-flash,error_within_model_q20,500,0.374,0.042,0.11229946524064172,0.8877005347593583,0.14787999999999998
gemini/gemini-2.5-pro,error_within_model_q20,500,0.962,0.182,0.1891891891891892,0.8108108108108109,0.18022000000000002
openai/gpt-5-mini,error_within_model_q20,500,0.704,0.128,0.18181818181818182,0.8181818181818182,0.1522
openai/gpt-5-nano,error_within_model_q20,500,0.028,0.002,0.07142857142857142,0.9285714285714286,0.07574
openai/gpt-5.2,error_within_model_q20,500,0.816,0.152,0.18627450980392157,0.8137254901960784,0.13391999999999998
