Model,Spearman_Conf_vs_COMET,AUROC_Predict_Bad_COMET,Mean_COMET
claude-haiku-4-5-20251001,0.4737091529751446,0.7112499999999999,0.8581772574186325
claude-opus-4-6,0.5044556238125262,0.7990499999999999,0.8518440760970115
claude-sonnet-4-5-20250929,0.5945316019163659,0.7876999999999998,0.84391576898098
gemini-2.5-flash,0.13480876662713748,0.5958125,0.815176485478878
gemini-2.5-pro,0.32440240943665694,0.6069125000000001,0.8748941370248795
gpt-5-mini,0.25021267919887186,0.6271000000000001,0.8688095238208771
gpt-5-nano,0.34187636936284627,0.6571125,0.850800080627203
gpt-5.2,0.4093069760962788,0.7141625,0.8744100561141968
